effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),-4.08085706917843,0.677496923826236,-6.02343261742261,1.70756218024757e-09,-5.40872663951453,-2.75298749884233
fixed,cond,year_centered,0.0715411649912085,0.0138423249303616,5.16829111808315,2.36244125672075e-07,0.044410706665399,0.0986716233170181
fixed,cond,genderw,-0.368230065880116,0.230016890511163,-1.60088272240271,0.109402897035059,-0.819054887117888,0.0825947553576556
fixed,cond,titleDr.,1.36341496170687,0.672155581352462,2.02842169213787,0.0425172280283973,0.0460142302484665,2.68081569316528
fixed,cond,titlePD,3.45844391366252,0.695295432896306,4.97406390152184,6.55636807996116e-07,2.09568990657057,4.82119792075446
fixed,cond,titleProf.,4.31385614846272,0.709695654455322,6.07845929643394,1.21342774499095e-09,2.92287822574571,5.70483407117974
fixed,cond,position_categoryOberarzt m. Funktion,0.381060624537511,0.262001752668482,1.45442013519535,0.145829860880391,-0.132453374579084,0.894574623654107
fixed,cond,position_categoryDirektor,1.97210292161941,0.414243968778223,4.76072814635287,1.92895737394468e-06,1.16019966200115,2.78400618123766
fixed,cond,leadership_indicator,0.478499569847463,0.299907876704289,1.59548850502271,0.110603038488793,-0.109309067172824,1.06630820686775
