effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.295737952802039,0.449963835331885,0.657248271039178,0.511021292050811,-0.586174958793967,1.17765086439804
fixed,cond,year_centered,0.0217931769361866,0.00616683666662662,3.53393127048846,0.000409427529704643,0.00970639917105741,0.0338799547013158
fixed,cond,genderw,-0.395408172210002,0.113374974409338,-3.4876142135423,0.000487350721817439,-0.617619038800456,-0.173197305619549
fixed,cond,titleDr.,-0.779910367442535,0.456586360908893,-1.70813330010565,0.0876116112709784,-1.67480319065617,0.114982455771101
fixed,cond,titlePD,-0.329085139957221,0.454881177676663,-0.723452972132296,0.46940163671131,-1.22063586544865,0.562465585534203
fixed,cond,titleProf.,0.265030851446932,0.457288269656019,0.579570631991703,0.562204202406694,-0.631237687631507,1.16129939052537
fixed,cond,position_categoryOberarzt m. Funktion,-0.155050237849448,0.109440369427416,-1.41675543184529,0.156554444205376,-0.369549420381942,0.0594489446830471
fixed,cond,position_categoryDirektor,0.557830432037192,0.131214217164599,4.25129566057184,2.12537371032392e-05,0.30065529213496,0.815005571939424
fixed,cond,leadership_indicator,0.341741829196216,0.111783197183797,3.0571842441965,0.0022342689818593,0.122650788639234,0.560832869753198
fixed,zi,(Intercept),0.93196879705499,0.0606942874349192,15.3551320304125,3.27242664970822e-53,0.813010179615226,1.05092741449475
fixed,zi,year_centered,-0.0437109478077873,0.0104594870432641,-4.17907184424855,2.92701216280979e-05,-0.0642111657093482,-0.0232107299062265
fixed,zi,position_categoryOberarzt m. Funktion,-0.916306982649767,0.0779785936045048,-11.7507503058741,6.99945750938646e-32,-1.06914221767968,-0.763471747619852
fixed,zi,position_categoryDirektor,-2.35027985560347,0.139685097610451,-16.825559031056,1.5855801828678e-63,-2.62405761609691,-2.07650209511002
fixed,zi,leadership_indicator,-0.25509653091013,0.0883925501774812,-2.88595057386542,0.00390233435901214,-0.428342745759643,-0.0818503160606175
